,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
220,Restricted Area,Center(C),1,-8,10,1
221,Restricted Area,Center(C),0,-7,4,1
222,Above the Break 3,Left Side Center(LC),26,-154,210,1
223,Restricted Area,Center(C),1,-8,-6,1
224,Above the Break 3,Right Side Center(RC),26,85,246,1
225,Restricted Area,Center(C),0,-6,6,1
226,Mid-Range,Left Side(L),11,-106,49,1
227,Mid-Range,Center(C),22,-16,228,1
228,Mid-Range,Left Side Center(LC),17,-144,105,0
229,Restricted Area,Center(C),1,-13,10,1
230,Mid-Range,Center(C),21,1,211,0
231,Right Corner 3,Right Side(R),22,228,17,0
232,Left Corner 3,Left Side(L),23,-231,-18,1
233,In The Paint (Non-RA),Center(C),12,50,113,0
234,Mid-Range,Left Side(L),9,-90,30,0
235,Above the Break 3,Center(C),26,19,260,0
236,Above the Break 3,Left Side Center(LC),25,-129,218,0
237,In The Paint (Non-RA),Center(C),7,-49,55,1
238,Left Corner 3,Left Side(L),22,-226,-11,1
239,Above the Break 3,Right Side Center(RC),25,176,184,0
240,In The Paint (Non-RA),Center(C),4,-32,24,0
241,Restricted Area,Center(C),2,11,17,1
242,Left Corner 3,Left Side(L),23,-231,-1,0
243,In The Paint (Non-RA),Center(C),4,41,7,0
244,Restricted Area,Center(C),2,11,22,0
245,Restricted Area,Center(C),1,-9,17,0
246,Restricted Area,Center(C),3,-24,27,1
247,Above the Break 3,Left Side Center(LC),26,-133,230,0
248,Restricted Area,Center(C),1,-12,4,1
249,In The Paint (Non-RA),Center(C),4,-45,15,0
250,Restricted Area,Center(C),1,-13,5,0
251,Right Corner 3,Right Side(R),22,228,21,0
252,Mid-Range,Right Side(R),9,85,31,0
253,Above the Break 3,Center(C),27,74,269,0
254,Above the Break 3,Center(C),25,42,249,1
255,Restricted Area,Center(C),0,0,-3,1
256,Left Corner 3,Left Side(L),24,-230,70,1
257,In The Paint (Non-RA),Center(C),5,-1,59,1
258,Above the Break 3,Left Side Center(LC),27,-117,251,0
259,In The Paint (Non-RA),Center(C),5,-29,42,0
260,Right Corner 3,Right Side(R),23,230,6,1
261,Above the Break 3,Left Side Center(LC),25,-141,211,0
262,Above the Break 3,Left Side Center(LC),25,-150,209,0
263,Mid-Range,Right Side(R),11,106,47,0
264,Restricted Area,Center(C),2,22,8,0
265,Restricted Area,Center(C),0,-4,5,1
266,Restricted Area,Center(C),1,-5,13,1
267,Mid-Range,Right Side Center(RC),21,67,205,0
268,Mid-Range,Center(C),17,10,172,1
269,Mid-Range,Left Side Center(LC),16,-73,144,1
270,Restricted Area,Center(C),1,-12,10,0
271,Above the Break 3,Center(C),24,41,239,0
272,Restricted Area,Center(C),0,4,-3,1
273,Above the Break 3,Center(C),25,8,254,1
274,Right Corner 3,Right Side(R),22,228,-1,0
275,Restricted Area,Center(C),3,17,26,0
276,Mid-Range,Left Side Center(LC),19,-85,179,0
277,Restricted Area,Center(C),2,-14,20,0
278,Restricted Area,Center(C),2,22,10,0
279,Above the Break 3,Left Side Center(LC),26,-101,240,0
280,In The Paint (Non-RA),Center(C),13,50,121,1
281,In The Paint (Non-RA),Center(C),12,-38,120,1
282,Restricted Area,Center(C),3,3,34,0
283,Restricted Area,Center(C),0,0,-6,0
284,In The Paint (Non-RA),Center(C),6,-51,32,1
285,In The Paint (Non-RA),Center(C),4,40,24,0
286,Above the Break 3,Right Side Center(RC),26,85,252,1
287,Above the Break 3,Center(C),26,43,260,0
288,In The Paint (Non-RA),Right Side(R),8,51,66,0
289,Restricted Area,Center(C),2,-4,27,0
290,Right Corner 3,Right Side(R),23,231,57,1
291,Above the Break 3,Right Side Center(RC),25,119,220,0
292,In The Paint (Non-RA),Center(C),7,38,68,1
293,In The Paint (Non-RA),Center(C),6,39,56,0
294,Restricted Area,Center(C),1,0,16,1
295,Above the Break 3,Left Side Center(LC),25,-207,146,1
296,Above the Break 3,Left Side Center(LC),25,-191,172,1
297,Mid-Range,Left Side(L),16,-163,48,1
298,Restricted Area,Center(C),3,-16,29,1
299,Restricted Area,Center(C),1,9,12,0
300,Mid-Range,Right Side Center(RC),22,101,201,1
301,Mid-Range,Left Side(L),20,-174,116,0
302,Restricted Area,Center(C),1,0,15,1
303,Restricted Area,Center(C),1,-6,11,1
304,Above the Break 3,Center(C),27,-73,261,1
305,Restricted Area,Center(C),1,3,11,1
306,Above the Break 3,Center(C),26,7,262,0
307,In The Paint (Non-RA),Center(C),10,6,108,0
308,In The Paint (Non-RA),Center(C),10,32,99,1
309,Above the Break 3,Right Side Center(RC),25,198,167,0
310,In The Paint (Non-RA),Center(C),7,47,52,1
311,Right Corner 3,Right Side(R),23,232,8,1
312,Above the Break 3,Center(C),27,57,267,0
313,Above the Break 3,Left Side Center(LC),25,-161,199,0
314,Restricted Area,Center(C),3,30,11,1
315,Restricted Area,Center(C),2,-20,2,0
316,In The Paint (Non-RA),Center(C),7,-17,78,1
317,Mid-Range,Left Side(L),12,-116,54,0
318,Mid-Range,Right Side Center(RC),17,112,136,0
319,In The Paint (Non-RA),Center(C),5,24,48,0
320,Restricted Area,Center(C),3,32,18,0
321,In The Paint (Non-RA),Center(C),6,10,64,1
322,Restricted Area,Center(C),1,-3,-11,1
323,Above the Break 3,Center(C),25,75,242,0
324,In The Paint (Non-RA),Center(C),5,58,2,0
325,Above the Break 3,Right Side Center(RC),24,193,154,1
326,Left Corner 3,Left Side(L),23,-231,-4,0
327,Restricted Area,Center(C),3,18,25,0
328,Mid-Range,Left Side(L),19,-193,27,1
329,Right Corner 3,Right Side(R),22,228,-5,0
330,In The Paint (Non-RA),Center(C),7,3,71,0
331,Restricted Area,Center(C),1,-17,5,0
332,Restricted Area,Center(C),0,8,-1,1
333,Mid-Range,Left Side(L),21,-192,96,1
334,Above the Break 3,Left Side Center(LC),24,-157,190,1
335,In The Paint (Non-RA),Center(C),5,-18,52,1
336,Left Corner 3,Left Side(L),23,-232,-3,1
337,In The Paint (Non-RA),Center(C),7,-67,23,1
338,In The Paint (Non-RA),Center(C),10,-45,97,0
339,Above the Break 3,Left Side Center(LC),24,-155,193,1
340,In The Paint (Non-RA),Center(C),4,39,14,0
341,Restricted Area,Center(C),1,7,13,1
342,Restricted Area,Center(C),0,0,-6,1
343,Right Corner 3,Right Side(R),23,234,14,1
344,Restricted Area,Center(C),3,27,20,0
345,Restricted Area,Center(C),3,24,22,0
346,Above the Break 3,Right Side Center(RC),24,211,131,1
347,Above the Break 3,Right Side Center(RC),26,145,220,0
348,In The Paint (Non-RA),Center(C),4,-8,49,0
349,Above the Break 3,Left Side Center(LC),25,-224,131,0
350,Restricted Area,Center(C),1,-7,16,1
351,Restricted Area,Center(C),3,29,22,0
352,Restricted Area,Center(C),0,4,4,1
353,Above the Break 3,Left Side Center(LC),26,-111,237,0
354,Above the Break 3,Right Side Center(RC),26,113,236,0
355,Above the Break 3,Center(C),34,-88,332,0
356,Mid-Range,Right Side Center(RC),18,79,163,0
357,Mid-Range,Right Side Center(RC),18,142,125,0
358,Restricted Area,Center(C),3,-6,31,0
359,Restricted Area,Center(C),0,0,-6,0
360,Above the Break 3,Left Side Center(LC),25,-182,182,0
